tb,seed,horizon,arrivals,accepted,refused_stage1,stage2_refused,blank_pages,permanent_blanks,completed,mean_sojourn,var_sojourn
5.0,1,800.0,2379,751,0,0,0,0,744,4.596859141346828,12.345153080731025
5.0,2,800.0,2366,781,0,0,0,0,781,3.8416502539470296,6.752217710675595
5.0,3,800.0,2419,802,0,0,0,0,802,4.793257681999229,14.780944611772131
5.0,4,800.0,2419,783,0,0,0,0,783,3.2055515384075584,3.7412939140675703
5.0,5,800.0,2381,790,0,0,0,0,790,4.028124073385685,6.062876059250935
5.0,6,800.0,2368,779,0,4,4,4,774,5.677708537093038,22.04341893887754
5.0,7,800.0,2467,875,0,0,0,0,875,4.666606526176455,8.206398129386008
5.0,8,800.0,2402,813,0,0,0,0,813,4.018613702269105,5.866021598356761
5.0,9,800.0,2483,847,0,0,0,0,845,3.8467436328970845,4.803994520800516
5.0,10,800.0,2430,794,0,0,0,0,794,3.9443920710566394,10.620847394481078
5.0,11,800.0,2404,829,0,0,0,0,829,4.689034588729095,9.311113613575383
5.0,12,800.0,2387,790,0,0,0,0,789,6.312486537567488,21.656443521898964
5.0,13,800.0,2370,842,0,0,0,0,834,3.9462744861055734,8.93834223696389
5.0,14,800.0,2408,780,0,0,0,0,780,3.5597685367541825,4.510741138314584
5.0,15,800.0,2308,750,0,0,0,0,748,4.29440840822678,7.053576614936545
5.0,16,800.0,2344,794,0,0,0,0,794,4.104056844417476,8.09415594632493
5.0,17,800.0,2460,799,0,0,0,0,797,3.9975395157181937,6.971494758150878
5.0,18,800.0,2434,795,0,0,0,0,795,3.696658272334538,4.766310141919357
5.0,19,800.0,2444,825,0,0,0,0,825,4.712006664843648,9.015713342238618
5.0,20,800.0,2343,810,0,0,0,0,810,3.910998244212668,7.7324333746314435
10.0,1,800.0,2429,796,0,0,0,0,791,5.318721367887659,10.071371992123044
10.0,2,800.0,2436,772,0,0,0,0,772,4.771387705771486,12.569449001456906
10.0,3,800.0,2407,784,0,0,0,0,776,5.668707309371877,15.221009340663214
10.0,4,800.0,2342,761,0,0,0,0,758,4.649501168062809,8.691483144713615
10.0,5,800.0,2372,803,0,0,0,0,796,5.069575724667569,13.405242360159459
10.0,6,800.0,2315,724,0,0,0,0,724,3.957728888073674,8.71810197894464
10.0,7,800.0,2440,806,0,0,0,0,806,5.334760366101226,12.063279383943355
10.0,8,800.0,2384,771,0,0,0,0,771,5.119579607990379,10.805164791612082
10.0,9,800.0,2441,779,0,0,0,0,779,4.474423168536865,9.091394063233729
10.0,10,800.0,2384,783,0,0,0,0,777,5.170284019327044,10.602423127631837
10.0,11,800.0,2475,836,0,0,0,0,828,5.468890168633337,11.011298941553486
10.0,12,800.0,2344,808,0,0,0,0,805,5.588030298984503,11.803429277591174
10.0,13,800.0,2428,817,0,8,8,8,799,6.802376615936611,21.864874223735807
10.0,14,800.0,2367,777,0,0,0,0,772,5.209644325311129,11.703322864986369
10.0,15,800.0,2242,765,0,0,0,0,765,5.129826624588882,14.510570394027964
10.0,16,800.0,2322,811,0,0,0,0,811,4.686232851903633,7.66328135624893
10.0,17,800.0,2388,773,0,0,0,0,773,4.09961441809683,6.765270396461993
10.0,18,800.0,2451,809,0,0,0,0,808,4.907647850365484,7.311540640741122
10.0,19,800.0,2496,856,0,0,0,0,849,5.257222687483362,10.504306309541766
10.0,20,800.0,2414,816,0,4,4,4,795,6.3342654710821815,21.725809866593497
20.0,1,800.0,2335,762,1,0,0,0,762,6.653098734246998,16.27749503627596
20.0,2,800.0,2383,776,0,0,0,0,776,6.423600620287223,13.094719195535127
20.0,3,800.0,2474,821,1,0,0,0,821,6.7005722667735,13.737360708644216
20.0,4,800.0,2373,772,0,0,0,0,772,6.925363749796468,14.214617122908447
20.0,5,800.0,2385,775,0,0,0,0,770,6.364935405808173,14.675256321303074
20.0,6,800.0,2360,769,0,0,0,0,769,5.689513927675627,13.901716468940252
20.0,7,800.0,2469,821,0,2,2,2,819,7.1898420670154675,19.320439221845632
20.0,8,800.0,2463,790,0,0,0,0,790,6.782426133592126,16.661387439121235
20.0,9,800.0,2448,819,0,0,0,0,819,5.998313029913461,11.307445428146977
20.0,10,800.0,2381,751,0,0,0,0,751,5.829579781708572,12.522527900264809
20.0,11,800.0,2455,817,0,8,8,8,809,7.285108057249062,19.79553540964781
20.0,12,800.0,2432,791,5,0,0,0,791,7.330809690587837,19.659280145070028
20.0,13,800.0,2400,812,0,15,15,15,797,8.069956315040335,24.620766741465108
20.0,14,800.0,2385,734,0,0,0,0,734,6.127014314101451,13.527698352230086
20.0,15,800.0,2293,779,0,1,1,1,778,7.36371611537618,18.907045569532805
20.0,16,800.0,2315,778,0,0,0,0,778,6.886894996422691,12.666604261428954
20.0,17,800.0,2434,777,0,0,0,0,777,6.250403959040242,12.94592861266313
20.0,18,800.0,2408,799,0,2,2,2,797,6.973554191302002,18.802227147854552
20.0,19,800.0,2379,790,1,0,0,0,790,6.147802489361654,15.716543558840055
20.0,20,800.0,2348,736,0,0,0,0,736,6.414504145330919,14.164706993104607
40.0,1,800.0,2436,811,0,40,40,40,762,10.917872594475543,47.44614561322972
40.0,2,800.0,2508,810,10,48,48,48,757,10.65969729287136,37.37312501323686
40.0,3,800.0,2410,800,1,45,45,45,755,11.192599124908865,38.512455060277674
40.0,4,800.0,2384,784,4,15,15,15,769,10.231318765761293,33.171833397407866
40.0,5,800.0,2385,780,2,26,26,26,753,9.50814716359742,30.248266481567192
40.0,6,800.0,2407,763,0,35,35,35,728,9.756562713282458,31.276861986355968
40.0,7,800.0,2501,834,0,58,58,58,774,11.028523850806721,39.272761019280765
40.0,8,800.0,2501,839,4,75,75,75,762,11.70676587816906,43.32620987188238
40.0,9,800.0,2505,781,6,29,29,29,752,9.495663529983158,41.46363125746897
40.0,10,800.0,2434,799,2,36,36,36,763,9.739202813996645,30.13284798252267
40.0,11,800.0,2443,774,0,22,22,22,752,8.582242601132856,32.49083692632326
40.0,12,800.0,2459,797,3,62,62,62,735,10.560090749021457,39.75890692116288
40.0,13,800.0,2406,784,0,64,64,64,719,10.392555359821818,29.707538258187117
40.0,14,800.0,2466,801,0,47,47,47,754,12.035176338072539,41.474821305668655
40.0,15,800.0,2334,807,0,33,33,33,774,9.66066250645497,41.3884319975971
40.0,16,800.0,2325,723,4,29,29,29,694,9.327903210102653,28.57490165236138
40.0,17,800.0,2450,765,0,25,25,25,740,9.42230410436252,35.52816807140085
40.0,18,800.0,2495,823,14,30,30,30,788,11.018184811333969,33.20190246144048
40.0,19,800.0,2458,830,0,61,61,61,769,10.226069829014842,32.16622756094743
40.0,20,800.0,2389,736,0,14,14,14,717,10.108787872493599,27.86243115222347
